"simulationTime[s]","districtName","districtSafetyLevel","amountOfPatrols","amountOfPatrollingPatrols","amountOfCalculatingPathPatrols","amountOfTransferToInterventionPatrols","amountOfTransferToFiringPatrols","amountOfInterventionPatrols","amountOfFiringPatrols","amountOfReturningToHqPatrols","amountOfIncidents","isNight"
7201,Reinickendorf,RatherSafe,5,2,2,0,0,1,0,0,2,0
7201,Spandau,Safe,3,3,0,0,0,0,0,0,0,0
7201,Mitte,NotSafe,4,3,1,0,0,0,0,0,1,0
7201,Steglitz-Zehlendorf,Safe,3,2,0,0,0,1,0,0,1,0
7201,Treptow-Köpenick,NotSafe,8,8,0,0,0,0,0,0,0,0
7201,Friedrichshain-Kreuzberg,RatherSafe,5,3,1,1,0,0,0,0,1,0
7201,Tempelhof-Schöneberg,RatherSafe,3,2,0,0,0,1,0,0,1,0
7201,Neukölln,Safe,3,3,0,0,0,0,0,0,0,0
7201,Marzahn-Hellersdorf,RatherSafe,2,1,0,1,0,0,0,0,1,0
7201,Pankow,Safe,1,0,0,0,0,0,1,0,1,0
7201,Charlottenburg-Wilmersdorf,NotSafe,0,0,0,0,0,0,0,0,0,0
7201,Lichtenberg,RatherSafe,3,2,1,0,0,0,0,0,0,0
14401,Reinickendorf,RatherSafe,4,1,0,1,0,2,0,0,3,0
14401,Spandau,Safe,2,1,0,0,0,1,0,0,1,0
14401,Mitte,NotSafe,8,7,0,0,0,1,0,0,1,0
14401,Steglitz-Zehlendorf,Safe,3,3,0,0,0,0,0,0,0,0
14401,Treptow-Köpenick,NotSafe,4,3,0,0,0,1,0,0,1,0
14401,Friedrichshain-Kreuzberg,RatherSafe,3,3,0,0,0,0,0,0,0,0
14401,Tempelhof-Schöneberg,RatherSafe,1,1,0,0,0,0,0,0,0,0
14401,Neukölln,Safe,4,4,0,0,0,0,0,0,0,0
14401,Marzahn-Hellersdorf,RatherSafe,2,1,0,0,0,1,0,0,1,0
14401,Pankow,Safe,2,1,0,1,0,0,0,0,1,0
14401,Charlottenburg-Wilmersdorf,NotSafe,4,3,0,0,0,1,0,0,1,0
14401,Lichtenberg,RatherSafe,3,3,0,0,0,0,0,0,0,0
21601,Reinickendorf,RatherSafe,4,1,1,1,0,1,0,0,2,0
21601,Spandau,Safe,0,0,0,0,0,0,0,0,0,0
21601,Mitte,NotSafe,4,4,0,0,0,0,0,0,0,0
21601,Steglitz-Zehlendorf,Safe,3,3,0,0,0,0,0,0,0,0
21601,Treptow-Köpenick,NotSafe,8,2,0,0,0,2,4,0,3,0
21601,Friedrichshain-Kreuzberg,RatherSafe,4,4,0,0,0,0,0,0,0,0
21601,Tempelhof-Schöneberg,RatherSafe,3,2,0,0,0,1,0,0,1,0
21601,Neukölln,Safe,2,2,0,0,0,0,0,0,0,0
21601,Marzahn-Hellersdorf,RatherSafe,2,0,1,0,0,1,0,0,1,0
21601,Pankow,Safe,3,3,0,0,0,0,0,0,0,0
21601,Charlottenburg-Wilmersdorf,NotSafe,8,3,0,0,0,1,4,0,2,0
21601,Lichtenberg,RatherSafe,1,0,0,1,0,0,0,0,1,0
28800,Reinickendorf,RatherSafe,2,2,0,0,0,0,0,0,0,0
28800,Spandau,Safe,3,1,0,0,0,2,0,0,2,0
28800,Mitte,NotSafe,13,6,0,0,0,0,7,0,1,0
28800,Steglitz-Zehlendorf,Safe,1,1,0,0,0,0,0,0,0,0
28800,Treptow-Köpenick,NotSafe,2,1,0,0,0,0,1,0,1,0
28800,Friedrichshain-Kreuzberg,RatherSafe,4,3,1,0,0,0,0,0,0,0
28800,Tempelhof-Schöneberg,RatherSafe,1,1,0,0,0,0,0,0,0,0
28800,Neukölln,Safe,4,1,3,0,0,0,0,0,0,0
28800,Marzahn-Hellersdorf,RatherSafe,2,2,0,0,0,0,0,0,0,0
28800,Pankow,Safe,1,1,0,0,0,0,0,0,0,0
28800,Charlottenburg-Wilmersdorf,NotSafe,3,3,0,0,0,0,0,0,0,0
28800,Lichtenberg,RatherSafe,4,4,0,0,0,0,0,0,0,0
36003,Reinickendorf,RatherSafe,2,1,0,1,0,0,0,0,1,0
36003,Spandau,Safe,2,2,0,0,0,0,0,0,0,0
36003,Mitte,NotSafe,7,1,0,2,0,1,3,0,4,0
36003,Steglitz-Zehlendorf,Safe,2,1,1,0,0,0,0,0,0,0
36003,Treptow-Köpenick,NotSafe,4,1,0,0,0,0,3,0,1,0
36003,Friedrichshain-Kreuzberg,RatherSafe,3,3,0,0,0,0,0,0,0,0
36003,Tempelhof-Schöneberg,RatherSafe,1,1,0,0,0,0,0,0,0,0
36003,Neukölln,Safe,4,4,0,0,0,0,0,0,0,0
36003,Marzahn-Hellersdorf,RatherSafe,4,4,0,0,0,0,0,0,0,0
36003,Pankow,Safe,1,1,0,0,0,0,0,0,0,0
36003,Charlottenburg-Wilmersdorf,NotSafe,9,3,0,0,0,1,5,0,2,0
36003,Lichtenberg,RatherSafe,2,2,0,0,0,0,0,0,0,0
43200,Reinickendorf,RatherSafe,3,3,0,0,0,0,0,0,0,0
43200,Spandau,Safe,3,0,1,0,1,1,0,0,1,0
43200,Mitte,NotSafe,6,0,1,0,0,1,4,0,3,0
43200,Steglitz-Zehlendorf,Safe,2,0,0,0,0,0,2,0,1,0
43200,Treptow-Köpenick,NotSafe,4,2,1,0,0,0,1,0,2,0
43200,Friedrichshain-Kreuzberg,RatherSafe,6,1,0,0,0,3,2,0,4,0
43200,Tempelhof-Schöneberg,RatherSafe,2,2,0,0,0,0,0,0,0,0
43200,Neukölln,Safe,2,2,0,0,0,0,0,0,0,0
43200,Marzahn-Hellersdorf,RatherSafe,4,3,0,0,0,1,0,0,1,0
43200,Pankow,Safe,2,2,0,0,0,0,0,0,0,0
43200,Charlottenburg-Wilmersdorf,NotSafe,4,0,0,1,0,1,2,0,3,0
43200,Lichtenberg,RatherSafe,2,2,0,0,0,0,0,0,0,0
50400,Reinickendorf,RatherSafe,6,2,0,0,0,0,4,0,1,0
50400,Spandau,Safe,3,2,1,0,0,0,0,0,0,0
50400,Mitte,NotSafe,5,1,0,0,0,0,4,0,1,0
50400,Steglitz-Zehlendorf,Safe,1,1,0,0,0,0,0,0,0,0
50400,Treptow-Köpenick,NotSafe,5,2,0,0,0,1,2,0,2,0
50400,Friedrichshain-Kreuzberg,RatherSafe,6,5,0,0,0,0,1,0,1,0
50400,Tempelhof-Schöneberg,RatherSafe,2,1,0,0,0,1,0,0,1,0
50400,Neukölln,Safe,0,0,0,0,0,0,0,0,0,0
50400,Marzahn-Hellersdorf,RatherSafe,3,3,0,0,0,0,0,0,0,0
50400,Pankow,Safe,4,4,0,0,0,0,0,0,0,0
50400,Charlottenburg-Wilmersdorf,NotSafe,3,3,0,0,0,0,0,0,0,0
50400,Lichtenberg,RatherSafe,2,2,0,0,0,0,0,0,0,0
57600,Reinickendorf,RatherSafe,3,2,1,0,0,0,0,0,0,1
57600,Spandau,Safe,3,3,0,0,0,0,0,0,0,1
57600,Mitte,NotSafe,3,1,0,0,0,2,0,0,2,1
57600,Steglitz-Zehlendorf,Safe,2,0,0,1,0,1,0,0,2,1
57600,Treptow-Köpenick,NotSafe,4,4,0,0,0,0,0,0,1,1
57600,Friedrichshain-Kreuzberg,RatherSafe,2,1,0,0,0,1,0,0,1,1
57600,Tempelhof-Schöneberg,RatherSafe,6,3,1,0,0,2,0,0,2,1
57600,Neukölln,Safe,7,3,0,0,0,0,4,0,1,1
57600,Marzahn-Hellersdorf,RatherSafe,2,2,0,0,0,0,0,0,0,1
57600,Pankow,Safe,2,2,0,0,0,0,0,0,0,1
57600,Charlottenburg-Wilmersdorf,NotSafe,4,0,0,0,0,0,4,0,1,1
57600,Lichtenberg,RatherSafe,2,1,0,1,0,0,0,0,1,1
64803,Reinickendorf,RatherSafe,7,2,1,0,0,1,3,0,2,1
64803,Spandau,Safe,5,4,1,0,0,0,0,0,0,1
64803,Mitte,NotSafe,11,4,0,1,0,1,5,0,3,1
64803,Steglitz-Zehlendorf,Safe,4,4,0,0,0,0,0,0,0,1
64803,Treptow-Köpenick,NotSafe,6,5,0,1,0,0,0,0,1,1
64803,Friedrichshain-Kreuzberg,RatherSafe,4,4,0,0,0,0,0,0,0,1
64803,Tempelhof-Schöneberg,RatherSafe,2,2,0,0,0,0,0,0,0,1
64803,Neukölln,Safe,3,3,0,0,0,0,0,0,0,1
64803,Marzahn-Hellersdorf,RatherSafe,1,1,0,0,0,0,0,0,1,1
64803,Pankow,Safe,4,4,0,0,0,0,0,0,0,1
64803,Charlottenburg-Wilmersdorf,NotSafe,4,2,2,0,0,0,0,0,0,1
64803,Lichtenberg,RatherSafe,1,1,0,0,0,0,0,0,0,1
72000,Reinickendorf,RatherSafe,3,1,1,0,0,1,0,0,1,1
72000,Spandau,Safe,2,2,0,0,0,0,0,0,0,1
72000,Mitte,NotSafe,10,3,0,0,1,2,4,0,3,1
72000,Steglitz-Zehlendorf,Safe,2,2,0,0,0,0,0,0,0,1
72000,Treptow-Köpenick,NotSafe,7,1,0,2,0,1,3,0,6,1
72000,Friedrichshain-Kreuzberg,RatherSafe,4,3,0,0,0,0,1,0,1,1
72000,Tempelhof-Schöneberg,RatherSafe,6,2,0,0,0,0,4,0,1,1
72000,Neukölln,Safe,5,4,0,1,0,0,0,0,1,1
72000,Marzahn-Hellersdorf,RatherSafe,2,0,1,1,0,0,0,0,0,1
72000,Pankow,Safe,1,1,0,0,0,0,0,0,0,1
72000,Charlottenburg-Wilmersdorf,NotSafe,5,4,0,0,0,1,0,0,1,1
72000,Lichtenberg,RatherSafe,5,4,0,1,0,0,0,0,1,1
79202,Reinickendorf,RatherSafe,8,1,0,0,0,3,4,0,4,1
79202,Spandau,Safe,3,3,0,0,0,0,0,0,0,1
79202,Mitte,NotSafe,1,1,0,0,0,0,0,0,0,1
79202,Steglitz-Zehlendorf,Safe,1,1,0,0,0,0,0,0,1,1
79202,Treptow-Köpenick,NotSafe,18,8,0,0,0,0,10,0,4,1
79202,Friedrichshain-Kreuzberg,RatherSafe,1,1,0,0,0,0,0,0,0,1
79202,Tempelhof-Schöneberg,RatherSafe,0,0,0,0,0,0,0,0,0,1
79202,Neukölln,Safe,2,2,0,0,0,0,0,0,0,1
79202,Marzahn-Hellersdorf,RatherSafe,2,2,0,0,0,0,0,0,0,1
79202,Pankow,Safe,2,2,0,0,0,0,0,0,0,1
79202,Charlottenburg-Wilmersdorf,NotSafe,8,0,2,1,0,0,5,0,2,1
79202,Lichtenberg,RatherSafe,6,3,1,0,0,0,2,0,1,1
